index,date_published,date_modified,source,sponsor,title
163,2018-04-26T07:29:30,2018-04-26T07:29:30,nrc,Deloitte,Zestienjarige hackt op verzoek zijn eigen school
164,2018-04-20T11:49:04,2018-04-20T11:49:04,nrc,Deloitte,Volwassenen steeds meer bereid om te betalen voor digitale content
165,2018-04-05T07:19:24,2018-04-05T07:19:24,nrc,Deloitte,Hoeveel zonnepanelen kunnen op onze daken?
166,2018-03-30T09:47:03,2018-03-30T09:47:03,nrc,Deloitte,Zo word je een kampioen in hacken
167,2018-03-16T08:19:33,2018-03-16T08:19:33,nrc,Deloitte,Een 10-jarige met een eigen pinpas: gaat dat wel goed?
168,2018-03-14T10:02:00,2018-03-14T10:02:00,nrc,Deloitte,Je brein voorspelt je baankans
169,2018-03-14T10:01:18,2018-03-14T10:01:18,nrc,Deloitte,Nederlanders zijn dol op digitaal experimenteren
170,2018-02-15T13:00:17,2018-02-15T13:00:17,nrc,Deloitte,Wil je een baan? Ga in de cybersecurity!
171,2018-01-22T14:45:04,2018-01-22T14:45:04,nrc,Deloitte,Van A naar B reizen wordt net zo makkelijk als Netflixen
172,2018-01-05T14:13:31,2018-01-05T14:13:31,nrc,Deloitte,Speelgoed wordt steeds slimmer. Maar hoe veilig is dat?
173,2017-12-21T09:38:33,2017-12-21T09:38:33,nrc,Deloitte,Steeds meer hengelaars vissen naar jouw geld
174,2017-12-11T16:56:58,2017-12-11T16:56:58,nrc,Deloitte,Worden verzekeringen steeds minder saai?
175,2017-11-23T15:47:35,2017-11-23T15:47:35,nrc,Deloitte,Moet je nou wel of niet je wachtwoord veranderen?
176,2017-10-19T14:36:39,2017-10-19T14:36:39,nrc,Deloitte,Hoe je met data een wedstrijd kunt winnen
177,2017-10-05T14:46:27,2017-10-05T14:46:27,nrc,Deloitte,Podcast: Zo creeer je een eigen digitaal DNA
178,2017-06-19T08:50:23,2017-06-19T08:50:23,nrc,Deloitte,We gaan in een speedboot op een ijsberg af
179,2017-06-15T11:10:13,2017-06-15T11:10:13,nrc,Deloitte,De klant als ontwikkelaar van de nieuwe mobiliteit
180,2017-06-13T08:29:38,2017-06-13T08:29:38,nrc,Deloitte,De stadsbus wordt straks niet meer gemist
181,2017-06-07T14:47:21,2017-06-07T14:47:21,nrc,Deloitte,Je auto is gehackt ga direct naar de kant!
182,2017-05-23T11:13:07,2017-05-23T11:13:07,nrc,Deloitte,Hoe we weer de baas worden over onze eigen data
183,2017-05-12T10:16:02,2017-05-12T10:16:02,nrc,Deloitte,Een huis-tuin-en-keukenrobot maak je zo!
184,2017-05-08T08:51:02,2017-05-08T08:51:02,nrc,Deloitte,Hoe bereik je zakelijk succes in dit digitale decennium? Zo dus!
185,2017-05-04T09:03:27,2017-05-04T09:03:27,nrc,Deloitte,Wie is sneller de robot of de mens?
186,2017-04-24T14:59:23,2017-04-24T14:59:23,nrc,Deloitte,Alles wat je wilt weten over kunstmatige intelligentie
187,2017-04-12T14:54:35,2017-04-12T14:54:35,nrc,Deloitte,Innoveren in vijf lessen
188,2017-04-06T07:41:08,2017-04-06T07:41:08,nrc,Deloitte,Innoveren is meer dan het verzamelen van een berg goede ideeen
189,2017-03-30T08:05:15,2017-03-30T08:05:15,nrc,Deloitte,PETER HINSSEN: Wil je als bedrijf overleven dan is doen wat je al doet niet de juiste strategie
190,2020-05-15T08:30:52,2020-05-15T08:30:52,nrc,Vodafone,80 procent van de projecttijd besteedden we aan adoptie
191,2019-11-25T09:19:07,2019-11-25T09:19:07,nrc,Vodafone,Een internationaal merk creeren dat is het doel
192,2019-11-25T09:18:57,2019-11-25T09:18:57,nrc,Vodafone,IoT bleek een game-changer voor autobeveiliging
193,2019-11-25T09:18:34,2019-11-25T09:18:34,nrc,Vodafone,Met Smarter Working maak je jezelf aantrekkelijker als werkgever
194,2019-10-24T09:02:01,2019-10-24T09:02:01,nrc,Vodafone,IoT levert vaak ook verbetering van bedrijfsprocessen op
195,2019-09-20T14:40:17,2019-09-20T14:40:17,nrc,Vodafone,&bdquo;Connectiviteit heeft de toekomst&rdquo;
196,2019-09-16T09:59:38,2019-09-16T09:59:38,nrc,Vodafone,Ons doel? Persoonlijk en snel samenwerken
197,2019-09-13T08:54:33,2019-09-13T08:54:33,nrc,Vodafone,Real time inzicht in energiegebruik biedt meerdere voordelen
198,2019-02-08T12:19:47,2019-02-08T12:19:47,nrc,Vodafone,Passagiers met een mobiliteitsbeperking door IoT geholpen op de luchthaven
199,2019-01-22T09:16:02,2019-01-22T09:16:02,nrc,Vodafone,De digitale transformatie van Yamaha op twee wielen
200,2019-01-21T15:59:44,2019-01-21T15:59:44,nrc,Vodafone,Kan een app ouderen helpen om meer te bewegen?
201,2018-12-14T08:58:09,2018-12-14T08:58:09,nrc,Vodafone,We gaan de scootermarkt disrupten
202,2018-11-14T10:35:54,2018-11-14T10:35:54,nrc,Vodafone,Al vissend watervervuiling in beeld brengen
203,2018-11-02T09:39:31,2018-11-02T09:39:31,nrc,Vodafone,De waterparadox: het belangrijkste melk-ingredient wordt vaak vergeten
204,2018-10-31T19:16:39,2018-10-31T19:16:39,nrc,Vodafone,Wereldprimeur: dijken verstevigen en op afstand monitoren
205,2018-09-28T09:54:41,2018-09-28T09:54:41,nrc,Vodafone,Smart crowd: beweging op het festivalterrein in beeld
206,2018-09-27T14:18:26,2018-09-27T14:18:26,nrc,Vodafone,Hoe mindful driving rijden veiliger zuiniger en relaxter maakt
207,2018-09-27T14:11:49,2018-09-27T14:11:49,nrc,Vodafone,Welke rondvaartboot is waar? Zo helpt fleet management de rederij
